"format"|"id"|"media_type"|"label"|"file_extension"
"MAP_SRVC"|"http://publications.europa.eu/resource/authority/file-type/MAP_SRVC"|""|"MAP_SRVC"|"-"
"MBOX"|"http://publications.europa.eu/resource/authority/file-type/MBOX"|"http://www.iana.org/assignments/media-types/application/mbox"|"MBOX"|".mbox"
"MDB"|"http://publications.europa.eu/resource/authority/file-type/MDB"|""|"MDB"|".mdb"
"METS"|"http://publications.europa.eu/resource/authority/file-type/METS"|"http://www.iana.org/assignments/media-types/application/mets+xml"|"METS"|".xml"
"METS_ZIP"|"http://publications.europa.eu/resource/authority/file-type/METS_ZIP"|""|"METS_ZIP"|".zip"
"MHTML"|"http://publications.europa.eu/resource/authority/file-type/MHTML"|""|"MHTML"|".mhtml"
"MIF_MID"|"http://publications.europa.eu/resource/authority/file-type/MIF_MID"|""|"MIF_MID"|".mif"
"MOBI"|"http://publications.europa.eu/resource/authority/file-type/MOBI"|"http://www.iana.org/assignments/media-types/application/vnd.amazon.mobi8-ebook"|"MOBI"|".mobi"
"MOP"|"http://publications.europa.eu/resource/authority/file-type/MOP"|""|"MOP"|".mop"
"MOVINGFEATURES"|""|"http://www.opengis.net/def/interface/ogcapi-moving-features"|"MOVINGFEATURES"|""
"MP3"|"http://publications.europa.eu/resource/authority/file-type/MP3"|""|"MP3"|".mp3"
"MPEG2"|"http://publications.europa.eu/resource/authority/file-type/MPEG2"|"http://www.iana.org/assignments/media-types/application/mp4"|"MPEG2"|".mpeg"
"MPEG4"|"http://publications.europa.eu/resource/authority/file-type/MPEG4"|"http://www.iana.org/assignments/media-types/application/mp4"|"MPEG4"|".mpeg"
"MPEG4_AVC"|"http://publications.europa.eu/resource/authority/file-type/MPEG4_AVC"|"http://www.iana.org/assignments/media-types/application/mp4"|"MPEG4_AVC"|".mpeg"
"MPK"|""|"http://esriurl.com/mpk.xml"|"MPK"|""
"MQTT"|""|"http://mqtt.org"|"MQTT"|""
"MRSID"|"http://publications.europa.eu/resource/authority/file-type/MRSID"|""|"MRSID"|".sid"
"MSG_HTTP"|"http://publications.europa.eu/resource/authority/file-type/MSG_HTTP"|""|"MSG_HTTP"|"-"
"MSI"|"http://publications.europa.eu/resource/authority/file-type/MSI"|""|"MSI"|".msi"
"MXD"|"http://publications.europa.eu/resource/authority/file-type/MXD"|""|"MXD"|".mxd"
"N3"|"http://publications.europa.eu/resource/authority/file-type/N3"|"http://www.iana.org/assignments/media-types/application/n-triples"|"N3"|".n3"
"NCSS"|""|""|"NCSS"|""
"NETCDF"|"http://publications.europa.eu/resource/authority/file-type/NETCDF"|""|"NETCDF"|".cdf"
"OAPK"|"http://publications.europa.eu/resource/authority/file-type/OAPK"|""|"OAPK"|".apk"
"OCTET"|"http://publications.europa.eu/resource/authority/file-type/OCTET"|"http://www.iana.org/assignments/media-types/application/octet-stream"|"OCTET"|".zoo"
"ODATA"|""|"http://docs.oasis-open.org/odata/odata/v4.0"|"ODATA"|""
"ODB"|"http://publications.europa.eu/resource/authority/file-type/ODB"|""|"ODB"|".odb"
"ODC"|"http://publications.europa.eu/resource/authority/file-type/ODC"|""|"ODC"|".odc"
"ODF"|"http://publications.europa.eu/resource/authority/file-type/ODF"|""|"ODF"|".odf"
"ODG"|"http://publications.europa.eu/resource/authority/file-type/ODG"|""|"ODG"|".odg"
"ODP"|"http://publications.europa.eu/resource/authority/file-type/ODP"|""|"ODP"|".odp"
"ODS"|"http://publications.europa.eu/resource/authority/file-type/ODS"|"http://www.iana.org/assignments/media-types/application/vnd.oasis.opendocument.spreadsheet"|"ODS"|".ods"
"ODT"|"http://publications.europa.eu/resource/authority/file-type/ODT"|"http://www.iana.org/assignments/media-types/application/vnd.oasis.opendocument.text"|"ODT"|".odt"
"OGCCov"|""|"http://www.opengis.net/def/interface/ogcapi-coverages"|"OGCCov"|""
"OGCDGGS"|""|"http://www.opengis.net/def/interface/ogcapi-dggs"|"OGCDGGS"|""
"OGCEDR"|""|"http://www.opengis.net/def/interface/ogcapi-edr"|"OGCEDR"|""
"OGCFeat"|""|"http://www.opengis.net/def/interface/ogcapi-features"|"OGCFeat"|""
"OGCMaps"|""|"http://www.opengis.net/def/interface/ogcapi-maps"|"OGCMaps"|""
"OGCProc"|""|"http://www.opengis.net/def/interface/ogcapi-processes"|"OGCProc"|""
"OGCRec"|""|"http://www.opengis.net/def/interface/ogcapi-records"|"OGCRec"|""
"OGCRout"|""|"http://www.opengis.net/def/interface/ogcapi-routes"|"OGCRout"|""
"OGCStyl"|""|"http://www.opengis.net/def/interface/ogcapi-styles"|"OGCStyl"|""
"OGCTile"|""|"http://www.opengis.net/def/interface/ogcapi-tiles"|"OGCTile"|""
"OGS"|""|"http://www.opengeospatial.org/standards/ols#ogs"|"OGS"|""
"OPENDAD"|""|""|"OPENDAD"|""
"OPENSEARCH1.1"|""|"http://www.opensearch.org/Specifications/OpenSearch/1.1#OpenSearch_URL_template_syntax"|"OPENSEARCH1.1"|""
"OPENSEARCH1.1:DESCRIPTION"|""|"http://www.opensearch.org/Specifications/OpenSearch/1.1#OpenSearch_description_document"|"OPENSEARCH1.1:DESCRIPTION"|""
"OPS"|""|"http://www.opengeospatial.org/standards/ols#ops"|"OPS"|""
"ORDER"|""|""|"ORDER"|""
"ORS"|""|"http://www.opengeospatial.org/standards/ols#ors"|"ORS"|""
"OSM"|""|"http://wiki.openstreetmap.org/wiki/API"|"OSM"|""
"OUS"|""|"http://www.opengeospatial.org/standards/ols#ous"|"OUS"|""
"OVF"|"http://publications.europa.eu/resource/authority/file-type/OVF"|""|"OVF"|".ovf"
"OWC"|""|"http://www.opengeospatial.org/standards/owc"|"OWC"|""
"OWL"|"http://publications.europa.eu/resource/authority/file-type/OWL"|"http://www.iana.org/assignments/media-types/application/rdf+xml"|"OWL"|".owl"
"PDF"|"http://publications.europa.eu/resource/authority/file-type/PDF"|"http://www.iana.org/assignments/media-types/application/pdf"|"PDF"|".pdf"
"PDF1X"|"http://publications.europa.eu/resource/authority/file-type/PDF1X"|""|"PDF1X"|".pdf"
"PDFA1A"|"http://publications.europa.eu/resource/authority/file-type/PDFA1A"|""|"PDFA1A"|".pdf"
"PDFA1B"|"http://publications.europa.eu/resource/authority/file-type/PDFA1B"|""|"PDFA1B"|".pdf"
"PDFA2A"|"http://publications.europa.eu/resource/authority/file-type/PDFA2A"|""|"PDFA2A"|".pdf"
"PDFA2B"|"http://publications.europa.eu/resource/authority/file-type/PDFA2B"|""|"PDFA2B"|".pdf"
"PDFA3"|"http://publications.europa.eu/resource/authority/file-type/PDFA3"|""|"PDFA3"|".pdf"
"PDFUA"|"http://publications.europa.eu/resource/authority/file-type/PDFUA"|""|"PDFUA"|".pdf"
"PDFX"|"http://publications.europa.eu/resource/authority/file-type/PDFX"|""|"PDFX"|".pdf"
"PDFX1A"|"http://publications.europa.eu/resource/authority/file-type/PDFX1A"|""|"PDFX1A"|".pdf"
"PDFX2A"|"http://publications.europa.eu/resource/authority/file-type/PDFX2A"|""|"PDFX2A"|".pdf"
"PDFX4"|"http://publications.europa.eu/resource/authority/file-type/PDFX4"|""|"PDFX4"|".pdf"
"PL"|"http://publications.europa.eu/resource/authority/file-type/PL"|""|"PL"|".pl"
"PNG"|"http://publications.europa.eu/resource/authority/file-type/PNG"|"http://www.iana.org/assignments/media-types/image/png"|"PNG"|".png"
"POSTGIS"|""|""|"POSTGIS"|""
"PPS"|"http://publications.europa.eu/resource/authority/file-type/PPS"|""|"PPS"|".pps"
"PPSX"|"http://publications.europa.eu/resource/authority/file-type/PPSX"|""|"PPSX"|".ppsx"
"PPT"|"http://publications.europa.eu/resource/authority/file-type/PPT"|"http://www.iana.org/assignments/media-types/application/vnd.ms-powerpoint"|"PPT"|".ppt"
"PPTX"|"http://publications.europa.eu/resource/authority/file-type/PPTX"|"http://www.iana.org/assignments/media-types/application/vnd.openxmlformats-officedocument.presentationml.presentation"|"PPTX"|".pptx"
"PROTOCOL-BUFFERS"|""|"http://developers.google.com/protocol-buffers"|"PROTOCOL-BUFFERS"|""
"PS"|"http://publications.europa.eu/resource/authority/file-type/PS"|""|"PS"|".ps"
"PSD"|"http://publications.europa.eu/resource/authority/file-type/PSD"|""|"PSD"|".psd"
"PWP"|"http://publications.europa.eu/resource/authority/file-type/PWP"|""|"PWP"|"-"
"QGS"|"http://publications.europa.eu/resource/authority/file-type/QGS"|""|"QGS"|".qgs"
"QUAKEML1.2"|""|"http://quakeml.org /xmlns /quakeml/1.2"|"QUAKEML1.2"|""
"RAR"|"http://publications.europa.eu/resource/authority/file-type/RAR"|"http://www.iana.org/assignments/media-types/application/vnd.rar"|"RAR"|".rar"
"RASTER"|""|""|"RASTER"|""
"RDF"|"http://publications.europa.eu/resource/authority/file-type/RDF"|"http://www.iana.org/assignments/media-types/application/rdf+xml"|"RDF"|".rdf"
"RDF_N_QUADS"|"http://publications.europa.eu/resource/authority/file-type/RDF_N_QUADS"|""|"RDF_N_QUADS"|".nq"
"RDF_N_TRIPLES"|"http://publications.europa.eu/resource/authority/file-type/RDF_N_TRIPLES"|"http://www.iana.org/assignments/media-types/application/n-triples"|"RDF_N_TRIPLES"|".nt"
"RDF_THRIFT"|"http://publications.europa.eu/resource/authority/file-type/RDF_THRIFT"|""|"RDF_THRIFT"|".rt"
"RDF_TRIG"|"http://publications.europa.eu/resource/authority/file-type/RDF_TRIG"|""|"RDF_TRIG"|".trig"
"RDF_TRIX"|"http://publications.europa.eu/resource/authority/file-type/RDF_TRIX"|""|"RDF_TRIX"|".xml"
"RDF_TURTLE"|"http://publications.europa.eu/resource/authority/file-type/RDF_TURTLE"|"http://www.iana.org/assignments/media-types/text/turtle"|"RDF_TURTLE"|".ttl"
"RDF_XML"|"http://publications.europa.eu/resource/authority/file-type/RDF_XML"|"http://www.iana.org/assignments/media-types/application/rdf+xml"|"RDF_XML"|".rdf"
"RDFA"|"http://publications.europa.eu/resource/authority/file-type/RDFA"|"http://www.iana.org/assignments/media-types/application/xhtml+xml"|"RDFA"|".rdfa"
"REST"|"http://publications.europa.eu/resource/authority/file-type/REST"|""|"REST"|"-"
"RPM"|"http://publications.europa.eu/resource/authority/file-type/RPM"|""|"RPM"|".rpm"
"RSS"|"http://publications.europa.eu/resource/authority/file-type/RSS"|""|"RSS"|".rss"
"RTF"|"http://publications.europa.eu/resource/authority/file-type/RTF"|"http://www.iana.org/assignments/media-types/application/rtf"|"RTF"|".rtf"
"S3"|""|"http://aws.amazon.com/documentation/s3/"|"S3"|""
"SAS"|""|"http://www.ogcnetwork.net/SAS"|"SAS"|""
"SB3"|"http://publications.europa.eu/resource/authority/file-type/SB3"|"http://www.iana.org/assignments/media-types/application/sarif+json"|"SB3"|".sb3"
"SCHEMA_XML"|"http://publications.europa.eu/resource/authority/file-type/SCHEMA_XML"|""|"SCHEMA_XML"|".xsd"
"SDMX"|"http://publications.europa.eu/resource/authority/file-type/SDMX"|""|"SDMX"|".edi"
"SEARCH"|""|""|"SEARCH"|""
"SERVICE"|""|""|"SERVICE"|""
"SGML"|"http://publications.europa.eu/resource/authority/file-type/SGML"|"http://www.iana.org/assignments/media-types/application/SGML"|"SGML"|".sgml"
"SHP"|"http://publications.europa.eu/resource/authority/file-type/SHP"|"http://www.iana.org/assignments/media-types/application/vnd.shp"|"SHP"|".shp"
"SKOS_XML"|"http://publications.europa.eu/resource/authority/file-type/SKOS_XML"|""|"SKOS_XML"|".rdf"
"SOS"|""|"http://www.opengis.net/def/serviceType/ogc/sos"|"SOS"|""
"SPARQLQ"|"http://publications.europa.eu/resource/authority/file-type/SPARQLQ"|"http://www.iana.org/assignments/media-types/application/sparql-query"|"SPARQLQ"|".sparqlq"
"SPARQLQRES"|"http://publications.europa.eu/resource/authority/file-type/SPARQLQRES"|"http://www.iana.org/assignments/media-types/application/sparql-results+xml"|"SPARQLQRES"|".sparqlqr"
"SPS"|""|"http://www.opengeospatial.org/standards/sps"|"SPS"|""
"SQL"|"http://publications.europa.eu/resource/authority/file-type/SQL"|"http://www.iana.org/assignments/media-types/application/sql"|"SQL"|".sql"
"STAC"|""|"http://stacspec.org"|"STAC"|""
"STL"|"http://publications.europa.eu/resource/authority/file-type/STL"|""|"STL"|".stl"
"SVG"|"http://publications.europa.eu/resource/authority/file-type/SVG"|"http://www.iana.org/assignments/media-types/application/stix+json"|"SVG"|".svg"
"SWM"|"http://publications.europa.eu/resource/authority/file-type/SWM"|"http://www.iana.org/assignments/media-types/application/swid+xml"|"SWM"|".swm"
"TAB"|"http://publications.europa.eu/resource/authority/file-type/TAB"|""|"TAB"|".tab"
